serv_area_id,state,Org_ID,Program_Name,Addr1,Addr2,City,State,Zip,,,,
WV-5,WV,449041,"Legal Aid of West Virginia, Inc.",922 Quarrier Street,4th Floor,Charleston,WV,25301,"Legal Aid of West Virginia, Inc. ",(304) 343-3013 ,(800) 642-8279 ,http://www.lablaw.org 
MI-15,MI,423141,Legal Aid of Western Michigan,"Cornerstone Bldg., Suite 400","89 Ionia Avenue, NW",Grand Rapids,MI,49503,Legal Aid of Western Michigan ,(616) 774-0672 ,(800) 442-2777 ,http://www.lawv.net 
MO-3,MO,526010,Legal Aid of Western Missouri,1125 Grand Avenue,Suite 1900,Kansas City,MO,64106,Legal Aid of Western Missouri ,(816) 474-6750 ,(816) 474-6750 ,http://www.michiganlegalaid.org/ 
OH-23,OH,436183,"Legal Aid of Western Ohio, Inc.",525 Jefferson Avenue,Suite 400,Toledo,OH,43604-1371,"Legal Aid of Western Ohio, Inc. ",(419) 724-0030 ,(877) 894-4599 ,http://www.lawmo.org/ 
WY-4,WY,951050,"Legal Aid of Wyoming, Inc.",211 W. 19th Street, Suite 300,Cheyenne,WY,82001,"Legal Aid of Wyoming, Inc. ",(877) 432-9955 ,(877) 432-9955 ,http://www.lawolaw.org 
MN-1,MN,524006,Legal Aid Service of Northeastern Minnesota,302 Ordean Building,424 West Superior Street,Duluth,MN,55802,Legal Aid Service of Northeastern Minnesota ,(218) 623-8100 ,(855) 204-1697 ,http://www.lawyoming.org
OK-3,OK,737066,"Legal Aid Services of Oklahoma, Inc.",2915 North Classen Boulevard,Suite 500,Oklahoma City,OK,73106,"Legal Aid Services of Oklahoma, Inc. ",(405) 557-0020 ,(800) 421-1641 ,http://www.lasnem.org/ 
OR-6,OR,938004,Legal Aid Services of Oregon,921 SW Washington,Suite 570,Portland,OR,97205,Legal Aid Services of Oregon ,(503) 224-4094 ,(503) 224-4094 ,http://www.legalaidok.org/ 
KY-2,KY,618010,Legal Aid Society,416 West Muhammad Ali Blvd.,Suite 300,Louisville,KY,40202-2354,Legal Aid Society ,(502) 584-1254 ,(800) 292-1862 ,http://www.lasoregon.org 
VA-16,VA,447026,Legal Aid Society of Eastern Virginia,125 St. Paul's Boulevard,Suite 400,Norfolk,VA,23510,Legal Aid Society of Eastern Virginia ,(757) 627-5423 ,(888) 868-1072 ,http://www.laslou.org/ 
OH-18,OH,436040,Legal Aid Society of Greater Cincinnati,215 East Ninth Street,Suite 200,Cincinnati,OH,45202,Legal Aid Society of Greater Cincinnati ,(513) 241-9400 ,(800) 582-2682 ,http://www.laseva.org/ 
HI-1,HI,912000,Legal Aid Society of Hawaii,924 Bethel Street,,Honolulu,HI,96813,Legal Aid Society of Hawaii ,(808) 536-4302 ,(800) 499-4302 ,http://www.lascinti.org/ 
NY-22,NY,233150,"Legal Aid Society of Mid-New York, Inc.",255 Genesee Street,2nd Floor,Utica,NY,13501,"Legal Aid Society of Mid-New York, Inc. ",(315) 793-7000 ,(877) 777-6152 ,http://www.legalaidhawaii.org/ 
TN-10,TN,643040,Legal Aid Society of Middle Tennessee and the Cumberlands,300 Deaderick Street,,Nashville,TN,37201-1103,Legal Aid Society of Middle Tennessee and the Cumberlands ,(800) 238-1443 ,(800) 238-1443 ,http://www.lasmny.org/ 
NY-21,NY,233010,"Legal Aid Society of Northeastern New York, Inc.",55 Colvin Avenue,,Albany,NY,12206,"Legal Aid Society of Northeastern New York, Inc. ",(518) 462-6765 ,(800) 462-2922 ,http://www.las.org/ 
CA-19,CA,805310,"Legal Aid Society of Orange County, Inc.",2101 N. Tustin Ave.,,Santa Ana,CA,92705,"Legal Aid Society of Orange County, Inc. ",(714) 571-5200 ,(800) 834-5001 ,http://www.lasnny.org/ 
CA-14,CA,805250,"Legal Aid Society of San Diego, Inc.",110 South Euclid Avenue,,San Diego,CA,92114,"Legal Aid Society of San Diego, Inc. ",(619) 471-2620 ,(877) 534-2524 ,http://www.legal-aid.com/ 
NY-23,NY,233130,"Legal Assistance of Western New York, Inc.",361 South Main Street,,Geneva,NY,14456,"Legal Assistance of Western New York, Inc. ",(315) 781-1465 ,(585) 325-2520 ,http://www.lassd.org/ 
AL-4,AL,601037,"Legal Services Alabama, Inc.",207 Montgomery St.,Suite 1200,Montgomery,AL,36104-3537,"Legal Services Alabama, Inc. ",(334) 264-1868 ,(866) 456-4995 ,http://www.lawny.org 
DE-1,DE,308010,"Legal Services Corporation of Delaware, Inc.",100 West 10th Street,Suite 203,Wilmington,DE,19801,"Legal Services Corporation of Delaware, Inc. ",(302) 575-0408 ,(302) 575-0408 ,http://www.legalservicesalabama.org/ 
VT-1,VT,146010,"Legal Services Law Line of Vermont, Inc.",274  North Winooski Avenue,,Burlington,VT,5401,"Legal Services Law Line of Vermont, Inc. ",(802) 863-7153 ,(800) 639-8857 ,http://www.lscd.com 
NY-9,NY,233100,Legal Services NYC,40 Worth Street,Suite 606,New York,NY,10013-9998,Legal Services NYC ,(212) 431-7200 ,(212) 431-7200 ,http://www.vtlegalaid.org/ 
MI-14,MI,423060,Legal Services of Eastern Michigan,436 South Saginaw Street,,Flint,MI,48502,Legal Services of Eastern Michigan ,(810) 234-2621 ,(800) 339-9513 ,http://www.legalservicesnyc.org 
MO-4,MO,526020,"Legal Services of Eastern Missouri, Inc.",4232 Forest Park Avenue,,St. Louis,MO,63108,"Legal Services of Eastern Missouri, Inc. ",(314) 534-4200 ,(800) 444-0514 ,http://www.lsem-mi.org/ 
FL-5,FL,610040,"Legal Services of Greater Miami, Inc.",3000 Biscayne Boulevard,Suite 500,Miami,FL,33137-4129,"Legal Services of Greater Miami, Inc. ",(305) 438-2501 ,(305) 576-0080 ,http://www.lsem.org/ 
ND-3,ND,535007,Legal Services of North Dakota,1025 Third Street North,P.O. Box 1893,Bismarck,ND,58502-1893,Legal Services of North Dakota ,(701) 222-2110 ,(800) 634-5263 ,http://www.lsgmi.org/ 
FL-13,FL,610044,"Legal Services of North Florida, Inc.",2119 Delta Boulevard,,Tallahassee,FL,32303-4209,"Legal Services of North Florida, Inc. ",(850) 385-9007 ,(850) 385-9007 ,http://www.legalassist.org/ 
LA-11,LA,619061,"Legal Services of North Louisiana, Inc.",720 Travis Street,,Shreveport,LA,71101,"Legal Services of North Louisiana, Inc. ",(318) 222-7186 ,(800) 826-9265 ,http://www.lsnf.org/ 
CA-27,CA,805240,"Legal Services of Northern California, Inc.",517 Twelfth Street,,Sacramento,CA,95814,"Legal Services of Northern California, Inc. ",(916) 551-2150 ,(916) 551-2150 ,http://www.lsnl.org/ 
MI-9,MI,423130,"Legal Services of Northern Michigan, Inc.",1349 S. Otsego Avenue Unit 7B,Parkside Mini-Mall,Gaylord,MI,49735,"Legal Services of Northern Michigan, Inc. ",(989) 705-1067 ,(888) 645-9993 ,http://www.lsnc.net/ 
VA-20,VA,447007,"Legal Services of Northern Virginia, Inc.",4080 Chain Bridge Road,1st Floor,Fairfax,VA,22030,"Legal Services of Northern Virginia, Inc. ",(703) 778-6800 ,(866) 534-5243 ,http://www.lsnm.org/ 
NJ-15,NJ,331016,Legal Services of Northwest Jersey,34 West Main Street,Suite 301,Somerville,NJ,08876-2218,Legal Services of Northwest Jersey ,(908) 231-0840 ,(908) 475-2010 ,http://www.lsnv.org 
MN-4,MN,524027,Legal Services of Northwest Minnesota Corporation,1015 7th Avenue North,P.O. Box 838,Moorhead,MN,56561-0838,Legal Services of Northwest Minnesota Corporation ,(218) 233-8585 ,(800) 450-8585 ,http://www.lsnj.org/lsnwj/index.htm 
MI-12,MI,423010,Legal Services of South Central Michigan,420 North Fourth Avenue,,Ann Arbor,MI,48104-1197,Legal Services of South Central Michigan ,(734) 665-6181 ,(734) 665-6181 ,http://www.lsnmlaw.org/ 
MO-7,MO,526051,Legal Services of Southern Missouri,809 N. Campbell Avenue,,Springfield,MO,65802,Legal Services of Southern Missouri ,(417) 881-1397 ,(800) 444-4863 ,http://www.lsscm.org/ 
NY-20,NY,233160,Legal Services of the Hudson Valley,90 Maple Avenue,,White Plains,NY,10601,Legal Services of the Hudson Valley ,(914) 949-1305 ,(914) 949-1305 ,http://www.lsosm.org 
VI-1,VI,254000,"Legal Services of the Virgin Islands, Inc.",3017 Orange Grove,,Christiansted,VI,00820-4375,"Legal Services of the Virgin Islands, Inc. ",(340) 718-2626 ,(340) 718-2626 ,http://www.lshv.org/ 
TX-13,TX,744060,Lone Star Legal Aid,1415 Fannin Street,,Houston,TX,77002,Lone Star Legal Aid ,(713) 652-0077 ,(800) 354-1889 ,http://www.legalservicesvi.org 
MA-10,MA,122107,"Massachusetts Justice Project, Inc.",57 Suffolk Street,Suite 401,Holyoke,MA,1040,"Massachusetts Justice Project, Inc. ",(413) 533-2660 ,(800) 639-1209 ,http://www.lonestarlegal.org/ 
TN-4,TN,643030,"Memphis Area Legal Services, Inc.",109 North Main Street,"Claridge House, Suite 200",Memphis,TN,38103-5013,"Memphis Area Legal Services, Inc. ",(901) 523-8822 ,(901) 523-8822 ,http://www.masslegalhelp.org/ 
MA-4,MA,122090,"Merrimack Valley Legal Services, Inc.","35 John Street, Suite 302",,Lowell,MA,01852-1101,"Merrimack Valley Legal Services, Inc. ",(978) 458-1465 ,(978) 458-1465 ,http://www.malsi.org/ 
MP-1,MP,952000,"Micronesian Legal Services, Inc.",P.O. Box 5551 CHRB,,Saipan,MP,96950,"Michigan Indian Legal Services, Inc. ",(231) 947-0122 ,(800) 968-6877 ,http://www.mvlegal.org/ 
MO-5,MO,526041,Mid-Missouri Legal Services Corporation,1201 West Broadway,,Columbia,MO,65203,"Micronesian Legal Services, Inc. ",(670) 322-6472 ,(670) 234-6243 ,http://www.mils.org/ 
PA-25,PA,339040,"MidPenn Legal Services, Inc.",213-A North Front Street,,Harrisburg,PA,17101,Mid-Missouri Legal Services Corporation ,(573) 442-0116 ,(800) 568-4931 ,http://www.lsmo.org/Data/LegalServices/LegalService_129 
MS-10,MS,625071,Mississippi Center for Legal Services,111 East Front Street,P.O. Drawer 1728,Hattiesburg,MS,39403-1728,"MidPenn Legal Services, Inc. ",(717) 234-0492 ,(717) 232-0581 ,http://midpenn.org/ 
MT-1,MT,927000,Montana Legal Services Association,616 Helena Avenue,Suite 100,Helena,MT,59601,Mississippi Center for Legal Services ,(601) 545-2950 ,(601) 545-2950 ,http://www.mslegalservices.org/MS/index.cfm 
NY-7,NY,233070,"Nassau/Suffolk Law Services Committee, Inc.",One Helen Keller Way,5th Floor,Hempstead,NY,11550,Montana Legal Services Association ,(406) 442-9830 ,(800) 666-6124 ,http://www.mtlsa.org 
PA-8,PA,339060,Neighborhood Legal Services Association,928 Penn Avenue,,Pittsburgh,PA,15222-3799,"Nassau/Suffolk Law Services Committee, Inc. ",(516) 292-8100 ,(516) 292-8100 ,http://www.nslawservices.org/ 
CA-30,CA,805180,Neighborhood Legal Services of Los Angeles County,1102 E. Chevy Chase Drive,,Glendale,CA,91205,Neighborhood Legal Services Association ,(412) 255-6700 ,(866) 761-6572 ,http://www.nlsa.us/ 
DC-1,DC,309080,Neighborhood Legal Services Program of the District of Columbia,"680 Rhode Island Avenue, NE",,Washington,DC,20002,Neighborhood Legal Services of Los Angeles County ,(818) 834-7590 ,(818) 896-5211 ,http://www.nls-la.org/ 
NY-24,NY,233047,"Neighborhood Legal Services, Inc.",Main Seneca Building,"237 Main Street, 4th Floor",Buffalo,NY,14203-2473,Neighborhood Legal Services Program of the District of Columbia ,(202) 269-5100 ,(202) 269-5100 ,http://www.nlsp.org/ 
NV-1,NV,829050,"Nevada Legal Services, Inc.",530 South 6th Street,,Las Vegas,NV,89101,"Neighborhood Legal Services, Inc. ",(716) 847-0650 ,(716) 847-0650 ,http://www.nls.org/ 
NM-5,NM,732010,New Mexico Legal Aid,P O Box 25486,301 Gold Ave. S.W.,Albuquerque,NM,87102-3245,"Nevada Legal Services, Inc. ",(702) 386-0404 ,(866) 432-0404 ,http://www.nlslaw.net/ 
MS-9,MS,625040,"North Mississippi Rural Legal Services, Inc.",5 County Rd 1014,P.O. Box 767,Oxford,MS,38655-0767,New Mexico Legal Aid ,(505) 243-7871 ,(505) 243-7871 ,http://www.nmlegalaid.org/ 
PA-24,PA,339070,"North Penn Legal Services, Inc.",33 North Main Street,Suite 200,Pittston,PA,18640,"North Mississippi Rural Legal Services, Inc. ",(662) 234-8731 ,(800) 898-8731 ,http://www.nmrls.com/ 
NJ-18,NJ,331050,Northeast New Jersey Legal Services Corporation,574 Summit Avenue,,Jersey City,NJ,07306-2797,"North Penn Legal Services, Inc. ",(610) 317-5308 ,(800) 982-4387 ,http://www.northpennlegal.org/ 
WA-1,WA,948010,Northwest Justice Project,401 Second Avenue South,Suite 407,Seattle,WA,98104,Northeast New Jersey Legal Services Corporation ,(201) 792-6363 ,(201) 792-6363 ,http://www.lsnj.org/directory.htm 
PA-26,PA,339111,Northwestern Legal Services,1001 State Street,"Renaissance Center, Suite 700",Erie,PA,16501-1828,Northwest Justice Project ,(206) 464-1519 ,(888) 201-1014 ,http://www.nwjustice.org/ 
NJ-12,NJ,331100,"Ocean-Monmouth Legal Services, Inc.",303 West Main Street,Third Floor,Freehold,NJ,7728,Northwestern Legal Services ,(814) 452-6949 ,(800) 665-6957 ,http://www.nwls.org/ 
OH-17,OH,436070,Ohio State Legal Services,555 Buttles Avenue,,Columbus,OH,43215-1137,"Ocean-Monmouth Legal Services, Inc. ",(732) 866-0020 ,(732) 341-2727 ,http://www.lsnj.org/omls/index.htm 
OH-5,OH,436070,Ohio State Legal Services,555 Buttles Avenue,,Columbus,OH,43215-1137,Ohio State Legal Services ,(614) 221-7201 ,(800) 589-5888 ,http://www.ohiolegalservices.org/OSLSA/PublicWeb 
PA-1,PA,339000,Philadelphia Legal Assistance Center,42 South 15th Street,Suite 500,Philadelphia,PA,19102,"Oklahoma Indian Legal Services, Inc. ",(405) 943-6457 ,(800) 658-1497 ,http://www.oilsonline.org/ 
ME-1,ME,120000,"Pine Tree Legal Assistance, Inc.",88 Federal Street,P.O. Box 547,Portland,ME,04112-0547,Philadelphia Legal Assistance Center ,(215) 981-3808 ,(215) 981-3800 ,http://www.philalegal.org/ 
